,text,
650,@BTArchives And one of the last editions before the advent of All Figure Numbers I would have thought?,
651,@drinkwater_paul I can't wait until I can sit empty in complete gridlock 😩,
652,"Speak it, man. https://t.co/5TEqNeSp7c",
653,This book is my only hope of passing my exams but I doesn't even it's sums right https://t.co/gXquk2Nlts,
654,They don't cc me so I won't cc them. Mind games https://t.co/pH2t9INGy7,
655,Having me on this and listening to other  people bullshit about me dnt count as knowing me.,
656,"House of Rainbow in Manchester meets today at 6:30pm, if you are looking for a local group… https://t.co/h71yMnvo47",
657,The biggest problem in communication is the illusion that it has taken place.,
658,ran up 3 stairs and threw up in mouth that #2017 fitness,
659,Still feeling festive in @princesswlsSE3 - heating turned up and pleasant background smell of mulled wine.  Could be a long stay...,
660,@TheTollington good pub but I'll be in the freezing cold! #AFC,
661,@Denock__ I'm sorry uncle,
662,"@yelecapri10 i checked the last tweet, i cant find a yes or no... But will shall send size 39.5! What colour you want?",
663,'China freight train' in first trip to Barking https://t.co/3S81eROzvq Two wks 12K miles cheaper than air faster than ship #BRexit @BBCNews,
664,"@daveycunningham @westmiddgc @richpigg1 what, working on the burger stall ?",
665,This is an awesome company - great opportunity for a marketing and events specialist... https://t.co/ftTIkoi2sq,
666,"Booked today off work to go to the gym, catch up on my reading and sit around being smug.",
667,@karen_pleasance @T5DPF @Spike______ I still do.... https://t.co/s8DYzvbazV,
668,@ohnoitsjade Just a smidge  of one.,
669,@Judas_melsom I miss you,
670,"@jonworth @dirktherabbit well let's face it, so far as ""spinning out control"" goes that ship has sailed.",
671,@keithwrjones Only in patches where the original beige has faded.,
672,Presumably this expense will be more 'waste' so idiots can bleat about #charity sector not spending on delivery https://t.co/zx6m8rBTDv,
673,Tired as hell from shepherds bush. Now off to lunch @speedyscafe &amp; Brick Lane with @MegNotEgg.,
674,What the fuck Alan Smith is still only 34,
675,Both my babies not well hate seeing them poorly 🙁💋,
676,@MrRichardClarke that would be great. Was going to look you up. Happy NY.,
677,@profjamiehh @SameiHuda &lt; worked together on fx so that we could all understand why I was behaving the way I was. Needed all 3 to recover,
678,want eyebrow pierced,
679,Fed up that I live so far from @chernelleserena,
680,@MattGarvey1981 @PMoore121 sorry dude :-(,
681,@GeorgeMonbiot great column in this week's Guardian Weekly. Gave me a shred of hope. Doing more research on commons now. Cheers. M,
682,"@Sarah__Workman, I've been there!",
683,"WTF - Giroud has done it before...!!
https://t.co/4n5fLhVY8R",
684,@synistahustler Yesss G! 👊🏾👊🏾 #TheCypher #Greenboro,
685,HRK just 'got' how to bike on a pedal bike. Cycling round Ravenscourt Park. Family K is bursting with excitement.,
686,"@SaferSuffolk maybe if fines were more heavily enforced, then people would think harder before using their phone whilst driving @BBCSuffolk",
687,"@rlassiter oh christ yes, that'll be good. let me know some dates",
688,@SmurfetteEvans didn't even notice 😂,
689,@DDawn0 if not terrorism then probably child sex slave gang,
690,@BBCFood @jamieoliver My New Year's menu went down a treat! https://t.co/w6YChaDdGP,
691,It was Labour who started shift from 50/50 split with taxpayer to fare payer now paying 75% - a 50% increase for pa… https://t.co/wiF4ZVECuc,
692,2017 resolution : treat @ksheraaaah better and be her little spoon,
693,@abbie_joslin lol love how you know me so well bae xx,
694,"@ElleninAnger me, cheeky... never!",
695,@HPJCafeN8 your PBJ is insane. Insane.,
696,Here we go 2017!Teaser:the shape of things to come.          #thephoenixgarden #communitygarden… https://t.co/BmToiPz8sv,
697,@TrussElise Think he has got something going with @SenJohnMcCain https://t.co/nPEy16jo4y,
698,"Panda panda panda.. Had a great weekend on Le Sorelle, with good… https://t.co/Fpx0PWHIT3",
699,"@JSHiggins_ I think bra's have there place as a women only item... but then if a guy wanted to wear one, why stop them? Ah. People are odd.",
700,Watching BBC's To Walk Invisible This is what the BBC is best at not stupid reality??? Shows,
701,Discussing world politics with work colleagues isn't a good idea... #Israel,
702,@stuartajamieson you did and we are here waiting for you!,
703,@LegoSpaceBot @JamesLiamCook that's not from 1979 IIRC. Blue transparent bricks for LEGO space were introduced in 1981,
704,@flirtymagnus in the UK it gets upload each Tuesday at 8am,
705,"It always feel great to review goals and strategy in Jan, although sometimes I totally empathise with this!… https://t.co/DETIJSVxDo",
706,@RichardKirkham7 God no...but interesting how much air time unelected politcal apparatchik appointees get these days w/ 24 hour news to fill,
707,"Oh my fucking goodnight, why didn't they start this over the holiday season? https://t.co/E1h97LJEow",
708,@BarbHonchak Lucky man!!,
709,Let's hope they win th appeal #WHU https://t.co/7YKd6vEFnh,
710,Q&amp;A: We spoke to @PlayStationUK's Adam Merrett about the brand's approach to #designthinking… https://t.co/4sbEcDr1Sz,
711,Loving the library life @britishlibrary dissertation draft chapter is coming along nicely #queerhistory #london… https://t.co/wgIZ03zEKi,
712,See ya later 👋🏻😂😂 https://t.co/k8rOsE2n4e,
713,First day back at work and suffering from sugar withdrawal https://t.co/MASQ4an9We,
714,Campbell of @MF_EAME opening #emergingleaders session @oxfordfarming #ofc17 https://t.co/HsBh1f0csj,
715,"@BustedDice Indeed but cordons also prevent, as do tents, the ability for press to take photographs - Drones create a 'free for all'",
716,@SUP3RFRUIT you already follow but a follow from @mitchgrassi or a DM from you guys would be awesome!! 😅,
717,"🤘🏽 (@ London @HeathrowAirport (LHR) in Hounslow, Greater London) https://t.co/FSHnxARzqE",
718,Café just had a flood which affected cookers + electric so they've stopped serving food. We hope issue will be resolved later today.,
719,@barbaricca Of course. Probably why he agreed.,
720,@JamesLiamCook what the actual fuck Hahahaha,
721,"@BehaviourA @Sue_Cowley 

Class, such a huge barrier to address in this country. And when it intersects with gender, ethnicity 💣",
722,"Each month, we share 3 of the latest influencers we've added to the DB that we really like the look of:… https://t.co/xIWGBju8hz",
723,3/1/17 via Marie's instagram... https://t.co/gXwWajrryi,
724,@petepaphides @sohoradio Pete........the founders of Microsoft or the Charles Manson family. You decide ?????… https://t.co/V4yHlsV2XT,
725,What kinda weed this nigga been smoking 😕 https://t.co/4TD5rpQ6Ag,
726,Istanbul nightclub shooting: Kyrgyzstan investigates 'suspect' - https://t.co/Few5ho4cNb @BBCNews,
727,...I know... you do...☺️ https://t.co/FjE0cUzSaY,
728,#avenue #view @ Warwick Avenue https://t.co/bnHWjF8WJi,
729,Lorry gets stuck down narrow #Ipswich street https://t.co/cSR9xO2HJe https://t.co/iWOaIu6IL6,
730,"#ScalpCooling best thing ever, really helped me keep my cool during #chemo, thanks @scalpcooling https://t.co/SMiBSLEJPe",
731,"@glamourpinks @guardian We're not sure which part of the UK this images was taken in, but they certainly are stunning homes!",
732,"#HAPPYNEWYEAR..
I'm taking new #clients
for those of you that
love your #pets🐾🐾
#askmeanything #petslover #DogLife… https://t.co/lBXJQUYTRZ",
733,@Emma_Jeng you're very welcome 😘 miss you too Love! Yes but I'm taking a small break now 😊 Are you planing on trying it? Xx,
734,I'm at Canada Water London Underground and London Overground Station https://t.co/aT8h0uXPRH https://t.co/PuAJgHt1vG,
735,"@podfooduk laughable lebanese ""chicken"" wrap. Zero chicken. You're out.",
736,"#treattuesday is now trending in United Kingdom

https://t.co/Hc06kUaUuf https://t.co/QUAYQgHRje",
737,When discussing the delicacy of #phonebox #art #installation last wk with @shabazzchapman &amp; @SmithArizona it was… https://t.co/z58kDxKQ24,
738,@loli69x   I hope that all you wish for becomes a reality,
739,Brilliant https://t.co/HmQ9gN3wQe,
740,Just seen a London taxi driver with a Manchester United air freshener hanging off he's mirror! Another cockney red 😂😂😂😂,
741,Collecting my thoughts before hatching my plan to take over 2017! The path seems fairly… https://t.co/le99rCH5UH,
742,I'm a student and I'm being taxed wtf do you call this ??!,
743,"""How was your Christmas"" small talk with 50 odd people at work gets so tedious 😴",
744,"It begins.

⚡ UK's top EU diplomat Sir Ivan Rogers resigns

https://t.co/iWqiJE9wgG",
745,So delighted to have received a surge of #SuzySpiritAward nominations today so we're extending the deadline to 13/0… https://t.co/BI3dPOFz3B,
746,@elsapornx   I hope that all you wish for becomes a reality,
747,This is incredible work. Turns out 2016 wasn't so bad! https://t.co/4kA4qZ0FAW,
748,@KaitlynnPhilpot their amazing!!,
749,"Also flying back to Germany tomorrow, looking for drivers license and next project. What a life. Something constant would be nice",
750,Foul https://t.co/VHuHqwEk1J,
751,@girlsHBO needs to start again already,
752,good poisoning has Deffo caught up with me today,
753,A new resource on the benefits of nature in #dementia care please share @3SpiritTraining https://t.co/Vl2FHI936i,
754,That 1st game! #HopmanCup,
755,"@NRE_SWT Ticket office is meant to be open, yet no one was there &amp; one of the machines broken. I missed my train an… https://t.co/S9Id5J38Tc",
756,The thing that kills you most when ordering food with deliveroo is watching the timer go down and the little bike come towards you 😂😂,
757,Even celebrities are fighting over liking a picture on social media.,
758,"I HAVE HAD ENOUGH OF PRISON BREAK. I'm getting so angry, I feel like I'm on a fucking rollercoaster",
759,"@TfLTPH Hi,can you give me details of the Taxi annual fares review and how it works please!",
760,@MrMustard Nope. All good 😘 @paulyd1107,
761,someone has put on their registration form that their religion is english okay hun,
762,So suckable. 😜😘 https://t.co/U3N81xpxJ7,
763,I just began a cycling workout using #Endomondo. Peptalk me now @ https://t.co/qKWEzhSr5u,
764,@katybennettx why u tryna banter on my behalf even tho I supply it?,
765,@HashPiperdy Happy new year pal. Can you DM me your email?,
766,@xDuoMax you online?,
767,"Put some respect on my name. I have BSc, MSc, DBA, Mba, PhD, NTA, DBN, OGTV, ITV, Dstv you nameeee it",
768,@LeeMarshall9 cheers. Happy NY 🍻,
769,Just posted a photo @ Park Royal https://t.co/cRAyuQSu18,
770,"@karmabertelsen Poppy's, it's so amazing!!! 😭 https://t.co/TvxQzGDDwm",
771,"This dry January thing is shite, already thinking about my next outing",
772,"@mm684 @WomenEd 

Think the best ones do.  Implications for size of MATs?",
773,"@tsnatalie1973 Natalie, thank you very much for the follow. I really appreciate it! Yours, James🐾🐾",
774,"@WhufcIrons @SkySportsNewsHQ @WestHamUtd @sffeghouli @ManUtd if he reffed like that in sunday league,he would get his head kicked in",
775,@profjamiehh @SameiHuda We looked at all aspects of my life including what was working well and built on that amongst other things. &gt;,
776,"hi @ButchPleaseUK @ELondonLesbians @Gingerbeer_UK 4 u 🌈 
""Smoulder and Curl"" Annette Kennerley 16mm films
Sun 8 Jan… https://t.co/p8XqMzpo2h",
777,@Swanny1882 @BradleyAllen17 @davidmcintyre76 so he dont go on a free,
778,@KaitlynnPhilpot everything cooks so much quicker,
779,If it's all about talking them in then I must be in the betting somewhere....... https://t.co/AMXrbJPDsq,
780,"@Joekw First, the US does it all the time, we need to remember that so we don't pretend there's a moral high ground https://t.co/Zc2jyhZEOW",
781,"@foxhotelmusic if you follow us we can direct message, or message us on Facebook and hopefully we can get it sorted more quickly.",
782,"@eescobar88fx @priceactionkim 
Happy New Year Eduardo. Ready to see what 2017 has to offer.",
783,"Supa Crank It™, @supacrankit is now trending in #London

https://t.co/IvO5E5cHch https://t.co/38723YpPy9",
784,@gaviscgone Well done for finally finishing it :P.,
785,@D_G_Alexander @domdyer70 So you are advocating 'professional' only politicians? Such as those found in safe seats up &amp; down the UK,
786,"@plavandoski Oh god, I love that! Yes!",
787,So thankful to God for carrying me through these past 20 years and moulding me into the person I am today… https://t.co/p1vHuKOYEK,
788,Happy 2017 the main course of 2016. https://t.co/ypEM2y8Tgr,
789,Happy New Year From All At @dartfordgolf,
790,"Really looking forward to @DriveTheNetwork in Cambridge this Friday, catching up with some great people and listening to some great talks.",
791,"Look at @cjandmiles changing the world, and causing riot as they do it!ever so proud https://t.co/u7J8qq2DFd",
792,@zugzwanged @bapesaurus @peterdroberts we're looking forward to Lego Batman too,
793,New emojis to make the new year a happy one...!! 🦊🦑🦉🕺🏼🦆☄️🥝🥐🍯🥜🍇🍉🍌🥂🏋🏼‍♀️🏊🏻‍♀️🏜🌋,
794,"This is the Chelsea world @ Elystan Street
43 Elystan St, Chelsea, London SW3 3NT
https://t.co/Yq3UN6Psnc https://t.co/TdbNbE94Qx",
795,IT'S GOING TO SNOW WHEN I'M IN NORWAY,
796,"@DogManOfficial hi Jonathan, sorry you're caught up in this. I'm work for @standardnews can you dm me? Thanks -Saphora",
797,Caught up on #thehalcyon - turns out my second cousin was a boom mic operator on if!,
798,@LadyJ likewise. I'll swing by one of these days. 🙌,
799,@bareholidays @Cloverspa yes it is this will be my 4th visit so nice and relaxing there.,
800,@_paigelouisexo when I'm explaining why I love greys anatomy 😂😭 https://t.co/avbiepaTQz,
801,@My1xT @Cloudflare Stay tuned. :),
802,So is everybody back to work then..........? https://t.co/84ldbgbpfQ,
803,@HarmonyBandB you too gents - might try to make it down to Cornwall this year so may drop in - all the best,
804,@Joekw The other thing is that there's no publicly available evidence that Russia was behind the hacks jst the word of intelligence agencies,
805,@Raphaelite_Girl @WatergateBayAM @CornwallLive added to this https://t.co/3lfm1S9l8T,
806,Naturists come in all different forms #nude #nackt #naked https://t.co/CBBlrFOC6x,
807,@itsluke seems like a strong correlation between that graph and remainers?,
808,Neither. Keep learning @umustbe https://t.co/685NMZGUnY,
809,Want to add the WOW factor to your #hampshire wedding? Come &amp; meet @HorseboxtailsUK at our #Winchester #WeddingFair… https://t.co/BKgRhO8ba1,
810,Just clocked @LunarCFT reminds me of the streets,
811,"My optician at @BootsUK has lost her voice and is, quite simply, adorable.",
812,"@KaitlynnPhilpot yepp, I've got one at home Damian made me get one",
813,"God did not make me to be perfect, but to be a perfect reflection of a perfect being✝️",
814,"If you haven't already go stream my track #illusion ✨🔮 on Spotify now 🎶 @ London, United Kingdom https://t.co/8gMBeidfnI",
815,but he still makes underage girls give him head🤔🤔🤔 https://t.co/NCFO4uA57H,
816,@alex_smithyy but did you cry though,
817,Stage one of painting a football rattle 👌 https://t.co/A1T4TXgkC8,
818,@daveycunningham @westmiddgc @richpigg1 FORE LEFT !!! #shankoffthetee,
819,@Joekw Who already duped the public into supporting Iraq - I don't trust them an inch,
820,"Today Matthew, I'm going to be... #backtowork https://t.co/iwfT8pcVyu",
821,@nationalrailenq Another normal day!,
822,@beanroll thanks. All the best to you in 2017.,
823,@matt_scrafton @RichCawleySLP Karl loves the transfer window when it brings in money for the family… https://t.co/C19Sbuy9pV,
824,"@vijai63 @BJP4India @AmitShah 
TMC: The Mamata Company; really has no Mamata for ordinary people and is bankrupt of ideas and humanity",
825,"@profjamiehh @SameiHuda &lt; I was treated holistically &amp; improvements I've made remain, because I now understand me I can maintain those gains",
826,☕ @ St. Paul's Cathedral https://t.co/Ys2t3zbDOD,
827,"@naomi_gallant I had a #dementia champion that came up with a brill idea, window boxes, and bird boxes on the windows. Bring nature closer",
828,@TonyRobinsonOBE Another nail in project fear,
829,Alan Smith named as Notts County’s caretaker manager after Sheridan axe https://t.co/hW6I2PVtZO,
830,@OwenJones84 @guardian Everything to do with Corbyn ditch him and move to the centre and Labour will be on the way to recovery.,
831,"@MikesuziNZ Yes!  

Love to know the school if possible.  Always on hunt for examples of this working in practice.",
832,@Swanny1882 @BradleyAllen17 @davidmcintyre76 was told by many it was end of this season,
833,Joy. Sex. Beauty https://t.co/4EYnY4kf0c,
834,@LaurenRooneyPR Shangri-La. it was amazing and a great view of the city,
835,@hannahjstorey I almost did a desk cry earlier,
836,@Ocado hi. Order says it's been delivered but I've been here all day and no sign. Please advise. Thanks,
837,@Love_Music4 it like you're going through an awakening,
838,What's my job title? Not entirely sure exactly what it is 0.o,
839,"Daily render, animation celo test render. #c4d #graphics #daily #dailyrenders #illustration… https://t.co/tQXmxikfNm",
840,@GoldsmithsUoL library is freezing 🤧,
841,@Earthstormm silly billy,
842,Forgot my headphones today. Having to listen to a lot of inane chatter about what time people get out of bed when they're on holiday. Zzz.,
843,Yippee I have just arrived at the @sunbornlondon and the room is lovely. https://t.co/BIaA6unks5,
844,"@furious_coops I really don't know why anyone would want a dedicated app to LinkedIn tbh, though.",
845,"I've never been around anyone who takes one of those stupid, fake, let's catch us laughing together photos. How do you even instigate it?",
846,"@tedtully Why do class somebody who votes Tory as ""Scum"" - Very nice and typical of socialism",
847,@LeahSoaft thanks mate 👊,
848,"I'm at John Lewis Head Office - @johnlewisretail in London, Greater London https://t.co/RHustnJuP3",
849,"It's a New Year and time to blitz the house of Christmas and put some new, colourful textures in. Perhaps a vintage… https://t.co/Qbkz98MoCL",
850,back to kent on Sunday 😬 don't miss uni but miss my own space 😴,
851,@Joekw Other thing is that the DNC hacks would have achieved nothing if the DNC hadn't done anything objectionable/illegal in first place,
852,@keiranpedley labour leader and most of his shadow cabinet are a sick joke,
853,"UR NOT OK, HUN. https://t.co/RGVx6CjckQ",
854,Can you tell when I went into mountain pose ;) #yogarevolution @yogawithadriene https://t.co/v08ERQZre4,
855,"Joan Baez: ""The Night They Drove Old Dixie Down"" - https://t.co/3Hp1iz3Qvc",
856,"Love this place!
😍
@wbtourlondon 
#HarryPotter #DiagonAlley https://t.co/tnT2hQihGS",
857,Literally can't express how lush this lazy day is ☕🍫,
858,@samhawkinsok who's Lass Lestin,
859,Much needed break https://t.co/XMlmWQEKdz,
860,"Today Matthew, I'm going to be...
#backtowork https://t.co/ko1Bks3Vih",
861,A blog about my art 💁🏽 https://t.co/agNXcujQhz,
862,Who wants a free day pass to @easyGym Fulham and be my gym buddy this week?,
863,follow @HomelessReach @freddy_stratton @CroydonRadio @TipsOnActing @,
864,@Poundland #MakeUpGallery oh this would be fantastic for me and @bonnie_hollie  xx,
865,Love when Twitter app mixes up profile pictures. Just looked like pro-EU high-profile lawyer I follow was peddling 2-4-1 wine Wednesdays,
866,"Woken up and all I can think about is tonight, massive game, please win @CPFC #cpfc",
867,@TomBlenkinsop What a shame @Conservatives decided to stop British research and implementation of it. Now we will have to buy the tech.,
868,"@20committee Definitely in Herr Trump's inbox:
https://t.co/p2xJcaXgcM",
869,WEST HAM APPEAL FEGHOULI SENDING OFF  https://t.co/gWeYWmZLik,
870,@Spike______ @karen_pleasance @T5DPF I've just gobbed a twiglet ( with added soy sauce ) out upon reading that...😂😇😇,
871,@Crystallise_ think there's a reason why inmates scream in hospitals!,
872,Dick head of the year and a red light jumper #dangerousdriver should be #banned before he #kills https://t.co/MzJJTt8AbJ,
873,Can you recommend anyone for this #job in #London? https://t.co/Zp7vqhe0mo #IT #Hiring #CareerArc,
874,What planet are some people living on???,
875,@keen_io why is your pricing structure so cryptic now? It was so transparent before.,
876,Final wedding from the festive period was this birch tree wedding cake with handcrafted sugar… https://t.co/9WhZwC1UFi,
877,#backtowork #pilestodo wishing was on 'oliday trying to #stayfocused ! ☀️ ☀️ ☀️ https://t.co/IpSDHDJ10V,
878,@pcworld why arnt the Apple Desktops in your sale. Missed the sale before xmas and want to buy one?,
879,"@Kit_Fagg @OwenJones84 @guardian No it's not. It is devoid of ideas other than ""soak the rich"". Must do better than that.",
880,@ukpackers hippodrome on Sunday anyone?,
881,STORY IDEA #202: Planet Earth?  https://t.co/SHMfsvUWfM,
882,@theukia improving safety and quality in primary care at scale?,
883,@IJTaylor81 you will. Let's grab a beer one of these days. 🍻,
884,The Coca-Cola London Eye mobile ticketing experience is horrible. Whoever built it and bought it should feel bad. https://t.co/qIKrEgGKNF,
885,@danj_turn how else do you think she remains thin?,
886,"Henry Lytton was knighted in 1930, the only actor in the D'Oyly Carte Opera Company to receive the honour.",
887,starving,
888,@itvcorrie nawww I love #Corrie 🤗 it's one crazy loving best ongoing soaps,
889,Great way to tackle toxic 'Always-On' culture as French workers can now legally ignore work email after hours https://t.co/exjixAuvI9,
890,@alikingisqueen I WILL GO IF NO ONE else wants to x,
891,@AubaineUK for breakfast,
892,@Joyof_six We all need to contact our Orgs/Unions and get in writing if possible what they intend doing at next annual tariff review!,
893,"@naomi_gallant absolutely! I think we are getting there slowly, but much work to be done!",
894,Lacking #supermarket #inspiration? Check out my winter shopping list here👉 https://t.co/im7ZNKjqZy #TBalance #balance #shop #website #winter,
895,"@Essex_Exile @PaulHornchurch @TfLTPH I disagree, silver cabs are my nemesis, especially 54467, his face has got an appointment with my 👊",
896,"@PippaRouse the real question is ""what card are you paying with?""",
897,Amen https://t.co/QOKztolHpL,
898,"People risk their lives, families, jobs, friends and careers to satisfy a feeling that doesn't exist? You guys are idiots",
899,"@Askrigglad @WearsTheFoxHat_ I know of Mr Johnson through my occupation, and the key difference here is that he would never dream of asking.",
900,"@aviatrixCR @JolyonMaugham ha ha, yes. I realise what I did there...",
901,Half time stats yesterday end result Blackburn win 🙈 #ragequit @milesSI @FootballManager https://t.co/AKl7h00F1v,
902,@heydonworks do you have a reference for the trick to mark a nav item as active/current? Was it aria? anchor link? I left your book at home!,
903,@maryx69x   I hope that all you wish for becomes a reality,
904,Boom Boom. 💥❤ #LondonFireworks @ London Eye Firework https://t.co/rIvF96zojp,
905,"@LadyRed_6 Any thoughts what we could rename it? ""The web who shall not be named?!"" https://t.co/su79kQIP88",
906,@SimonGleave @OfficialMick Of course. I'm just jesting about the fact that fat became a topic for sports analysis.,
907,@JayKay_Arinze small play and zidane is scum https://t.co/M8qnggfjIZ,
908,Just posted a photo @ Selfridges https://t.co/SqLW31TjUL,
909,@sas_geddes happy birthday 🥂✨💋zz,
910,So happy to be working with such an amazing company in a beautiful venue. We open tomorrow so get your tickets now! https://t.co/eRarRfXAyM,
911,@JayneBeaumontMJ @4Viewers I normally do when in resus.#OCD,
912,@Soeno @jay_been @AppleSupport neither.  I got my phone replaced,
913,@manairport just look at all those @ManCity fans welcoming him.......ohh no i forgot they don't have fans,
914,Feel so bad watching the people clean my car because it's in such a state😭😂,
915,"@PDTechHD Hey Purav, could you please DM us for a quick chat?",
916,"Have you followed your New Years resolutions so far? (Don't get angry at football)

N
　   O
　　　 O
　　　　 o
　　　　　o
　　　　　 o",
917,"@Womanessity Thank you, have a great day too!",
918,Just wanna get the next flight to America and never come back👋🏻,
919,"Star Wars Rogue One : The final scene : You know what I'm talking about, did it work for you ????? #starwars #RogueOne #rt",
920,Hazard in the game and I'm not Belgium 🇧🇪,
921,Who else is sat in their office with gloves on and a scarf around their feet? Just me? https://t.co/VYjE9tvPhv,
922,@obutler TBC. Notes name on list 😉,
923,This is just One year that I trained and PRAYED for 🙌🏾 https://t.co/uFAk5BUaPL,
924,@phileden71 @westmiddgc @richpigg1 I haven't shanked since @talbot2307 sorted me out mate hence my name going up on the board #still1up,
925,@samatlounge I agree it's just another day a continuation of you,
926,Wasn't it the PM who said democracy should work for everyone but doesn't feel like it's working if requests for cha… https://t.co/iadcIMyRQz,
927,Hi @LEGOeducationUK how does one go about becoming a Certified Lego Education Academy trainer?,
928,"The first iOS update of 2017 🙌! View your pin in the app, and see more details on your limits 👀 https://t.co/QYkAKl2zkB",
929,A very happy birthday to @meganb3880. The years are slipping by!,
930,GallifreyStands Ep143 @jondavey007 talks RogueOne &amp; Doctor Who xmas on @TangentBoundPC @EMCPodNetwork #PodernFamily… https://t.co/FBi9KEkLqE,
931,More strikes for southern fail next week...😡,
932,My sleeping pattern this whole half term has really ruined me 😑,
933,"@PHJ_Official @YouTube with added me in it! Man, I am such an APCR whore...",
934,@samhawkinsok I Will Wilkinson,
935,@Rylan so excited for cbb tonight😀,
936,Thank you 😘 https://t.co/y03R08XxYG,
937,"@di_dishy actually yes but I get drinks for free sometimes because of that, so worth it",
938,@burnyourbones have you tried oat milk? It's my favourite!,
939,Our phone is ringing constantly this morning! Come and join us and get strong for 2017! #gym #resolutions,
940,Welcome back our favourite @theteawitch in the whole world. We missed you &amp; your oh so piercing tea reviews!!!! Not… https://t.co/K45u1I1ti0,
941,@Ciara_Sutton lol hmmm I wonder what,
942,@kaz7289 think Johnson could help Byram with his defending,
943,@DavidAFC68 @Cataphonics Me too,
944,Our 14 mile walk pics this morning. @Amx_nda https://t.co/RVRaiOXov7,
945,I love this lady. https://t.co/gSX83Seagn,
946,Happy New Year! I'm gonna grab 2017 by the squeaker and show it I ain't just got puppy teeth.… https://t.co/dLx1mbC8x3,
947,@andrezlinarez @m_cicekdagi @yaidunohannji @MarcellPiedade @Enrikelemus @Science_Mktg   I hope that all you wish for becomes a reality,
948,"💔💔💔 (@ London @Gatwick_Airport (LGW) in Crawley, West Sussex) https://t.co/n2sFb18Ndc",
949,I can't selfie to save my life anymore,
950,"New Year, New Smears. Remember, they'll do anything to nobble Corbyn, as they have with Left in other countries. https://t.co/hHD9WS9Dgy",
951,Cannot wait to get on a plane and go be in the sun for a week 🥂✨🙊👫🌞🌴👙,
952,Yes yes yes! https://t.co/PG3jFKs0xL,
953,"@billielouise6 Good, still two days left of Christmas!",
954,"Pop Quiz: The Comeback, Episode 2 https://t.co/5rOXtHsAL7 tomorro ! @RankingRoger @TheBeat @astonarts @Cherylbaker @NickHeyward @Haircut100",
955,https://t.co/5zRHp1J7KJ A great reminder of where to focus to realise your goals.,
956,"@MyKindaFuture Thanks for the RT, you're the BEST! 🏆🎉😁",
957,#PropertyoftheDay Just launched: A fantastic two bedroom flat in a prime location within Parsons Green… https://t.co/tzMIJfbgxP,
958,in Starbucks deeping my life,
959,"@Ldntaxi100 @PaulHornchurch fuck me, you have to admire the audacity of this one 😂",
960,@MadNad @AlasdairStuart @jakebible Okay I'm going to play with that this weekend.,
961,@HamdaLDN @akwayah Maybe it's why I'm so indifferent to them. I have it it in my head that it's mostly Brits watching,
962,@zenobia2015   I hope that all you wish for becomes a reality,
963,@piers_e cheers mate. We're overdue a catch-up. Hope all is well.,
964,@BoxingKingdom14 Like to see @DillianWhyte have a go,
965,Oh well back to the grind..... #porsche #AMG #Bentley https://t.co/qX89G4WuW0,
966,"Wind 0.7 mph WNW
Barometer 1025.3 mb,Falling 
Temperature 5.9 .C 
Rain today 0.0 mm 
Humidity 93%
@ 14:00:03.#ukweather.#weather",
967,Ang Ganda b my she bangs c Maine #ALDUBSoars2017 https://t.co/FDyGGcNlU9,
968,Southwest1. I've tagged you into it. https://t.co/ucSd3XTg7c,
969,@Doyleyboy The guy who wrote all those reviews is a good friend of ours. Lovely fella. The paper isn't fit for shit roll.,
970,@Chris_Farthing nice comparison photo. Going to have to check every black headed gull from now on,
971,Discover how we can create your unique #wedding at our modern #riverside venue https://t.co/55ut6V6Rb2 Join our… https://t.co/oJpscvXQ4S,
972,Wonder what @ColchesterZoo makes of this? https://t.co/X7GDe97mNn,
973,@Barclays you are a joke of a bank terrible customer service ridiculous phone service shocking,
974,@Stowed_Away the cafe &amp; @BlackhorseWS are still open as usual. No date for the new building opening as yet - keep an eye out for updates.,
975,Jack Howard's Exciting Partnership with Sisters Beauty Lounge in Dubai &gt;&gt;&gt; https://t.co/fVhJnUM51E  @PaulEdmonds217… https://t.co/bbFx0NfYzZ,
976,some people genuinely love being back at work don't they. Just let all the people that find their life's value in work go to work.,
977,"Don’t judge each day by the harvest you reap but by the seeds that you plant.
- Robert Louis Stevenson #InternationalSEO 😊",
978,"""Mourinho failed at chelsea""🤔 https://t.co/05MmkL7Cb5",
979,No please https://t.co/LZkgcglrG8,
980,@mar_odhiambo 💕💕💕love you tooo,
981,First day back at work and I think I'm actually freezing to death. Was nice knowing you all.,
982,4.9°C Wind:3.8mph Pressure:1029.8hpa Falling Rain today:0.3mm UV:2 Forecast:Fine weather. 14871.4 Lux,
983,Has fresh prince always been on Netflix 👀,
984,"Showery, becoming less settled. Now:6.1C - Rain =0.01 ins - Wind =11 / Gusts 17 mph.",
985,@PopcornatHeaven last night with @djzachburns @itsMannyQueen https://t.co/492lPTxI0D,
986,"Amazing little video. 
🌎Reduce 
🌍Reuse 
🌏Recycle 

https://t.co/o0Q4osVJbH",
987,@iamanthonyjames @JSHiggins_ You should do something about the lactation too.,
988,let's do it 🙌🏼 @DavePhillipson @souptonuts_ @Sheryl_A_Miller https://t.co/G8swoduDCQ,
989,Just remembered we still have to get our Psychology mock grades back 😳😳😳😳,
